longitude,latitude,boug,isostatic,resboug
96.6,21.1,-65.751886,168.5911,-31.391909
96.7,21.1,-72.623379,44.604099,-37.009155
96.8,21.1,-78.840712,41.073929,-41.972241
96.9,21.1,-89.136764,20.365121,-51.014046
97,21.1,-99.455553,22.69839,-60.274903
97.1,21.1,-106.83045,-9.8686584,-67.4135
97.2,21.1,-111.24454,-2.5264111,-71.591289
97.3,21.1,-103.88375,40.999112,-63.994198
97.4,21.1,-95.974652,95.709629,-55.8488
97.5,21.1,-97.335902,49.450367,-56.764409
97.6,21.1,-100.81421,60.415559,-60.689225
97.7,21.1,-106.10458,11.122898,-66.426104
97.8,21.1,-111.03147,1.0456124,-71.799503
97.9,21.1,-112.06108,2.7031653,-73.275622
98,21.1,-113.04877,-13.847676,-74.838546
98.1,21.1,-118.616,-22.549929,-80.880766
98.2,21.1,-121.56394,1.8216193,-84.303695
98.3,21.1,-107.32193,-2.4106151,-70.536674
98.4,21.1,-91.615224,-30.25834,-55.304958
98.5,21.1,-85.447389,-39.317761,-49.856935
98.6,21.1,-82.287451,14.45041,-46.526147
98.7,21.1,-84.273154,-29.858107,-48.340999
98.8,21.1,-88.794295,-38.969818,-52.69129
98.9,21.1,-99.919243,0.8493626,-63.645387
99,21.1,-111.83241,13.680487,-75.743448
99.1,21.1,-120.216,-29.41229,-84.037436
99.2,21.1,-127.47854,18.300043,-91.210375
99.3,21.1,-133.06121,-32.964395,-96.703443
99.4,21.1,-138.00988,-31.754984,-101.56251
99.5,21.1,-142.82831,42.026099,-107.95384
99.6,21.1,-145.26086,44.072153,-110.86357
99.7,21.1,-135.47797,-5.0386083,-101.55785
99.8,21.1,-125.50591,-5.4793042,-92.06296
99.9,21.1,-128.21844,-19.052451,-95.252662
100,21.1,-129.81962,11.032498,-99.827071
100.1,21.1,-113.52406,4.7111039,-85.0409
100.2,21.1,-96.528332,-17.145064,-69.554562
100.3,21.1,-93.895214,-19.326446,-68.430833
100.4,21.1,-93.899433,-26.608397,-69.944441
100.5,21.1,-92.854961,-15.82296,-70.57691
100.6,21.1,-92.130141,21.066593,-71.614815
100.7,21.1,-92.826801,-3.4786374,-74.074199
100.8,21.1,-94.852156,8.3796822,-77.862279
100.9,21.1,-102.30969,46.379986,-87.082538
