longitude,latitude,depth,density,variance
106.0,23.0,2.5,2.6594141,0.0078327514
106.5,23.0,2.5,2.6984628,0.0078942846
107.0,23.0,2.5,2.6496515,0.0086574963
96.0,23.5,2.5,2.5942097,0.0086495063
96.5,23.5,2.5,2.6487926,0.00788628
97.0,23.5,2.5,2.6330846,0.0078251578
97.5,23.5,2.5,2.6530584,0.0078153867
98.0,23.5,2.5,2.6847119,0.0078098373
98.5,23.5,2.5,2.6481805,0.0078075954
99.0,23.5,2.5,2.6594689,0.0078064524
99.5,23.5,2.5,2.6273345,0.0078059564
100.0,23.5,2.5,2.6722516,0.007805695
100.5,23.5,2.5,2.6537688,0.0078055802
101.0,23.5,2.5,2.6601026,0.0078055241
101.5,23.5,2.5,2.6744169,0.0078055102
102.0,23.5,2.5,2.6458396,0.0078055241
102.5,23.5,2.5,2.6582275,0.0078055798
103.0,23.5,2.5,2.7116246,0.0078056945
103.5,23.5,2.5,2.6798466,0.0078059548
104.0,23.5,2.5,2.6664724,0.0078064509
104.5,23.5,2.5,2.6770547,0.0078075902
105.0,23.5,2.5,2.6577147,0.0078098358
105.5,23.5,2.5,2.6303733,0.0078153859
106.0,23.5,2.5,2.6875376,0.0078252225
106.5,23.5,2.5,2.6691942,0.0078865207
107.0,23.5,2.5,2.6405495,0.0086508014
96.0,24.0,2.5,2.6325072,0.0086441874
96.5,24.0,2.5,2.6366895,0.0078795787
97.0,24.0,2.5,2.6582127,0.0078184925
97.5,24.0,2.5,2.6790371,0.0078086806
98.0,24.0,2.5,2.6856124,0.007803244
98.5,24.0,2.5,2.669801,0.0078010701
99.0,24.0,2.5,2.6586493,0.0077999816
99.5,24.0,2.5,2.6935897,0.007799511
100.0,24.0,2.5,2.7216377,0.0077992655
100.5,24.0,2.5,2.6433894,0.0077991573
101.0,24.0,2.5,2.6494358,0.0077991048
101.5,24.0,2.5,2.6589551,0.0077990915
102.0,24.0,2.5,2.6571645,0.0077991047
102.5,24.0,2.5,2.6586233,0.0077991568
103.0,24.0,2.5,2.6545044,0.0077992651
103.5,24.0,2.5,2.6543876,0.0077995094
104.0,24.0,2.5,2.6696783,0.0077999801
104.5,24.0,2.5,2.6624099,0.0078010652
105.0,24.0,2.5,2.650407,0.0078032435
105.5,24.0,2.5,2.6511787,0.007808683
106.0,24.0,2.5,2.6658788,0.0078185659
106.5,24.0,2.5,2.6623903,0.0078798393
107.0,24.0,2.5,2.6529027,0.0086455271
96.0,24.5,2.5,2.6467099,0.0086395501
